movie_id,title,tags
755898,War of the Worlds,will radford is a top analyst for homeland security who tracks potential threats through a mass surveillance program until one day an attack by an unknown entity leads him to question whether the government is hiding something from him and from the rest of the world sciencefiction thriller government attack privacy surveillance cybersecurity district onlineprivacy screenlife war absurd icecube evalongoria clarkgregg richlee
911430,F1,racing legend sonny hayes is coaxed out of retirement to lead a struggling formula 1 teamand mentor a young hotshot driverwhile chasing one more chance at glory action drama sportcompetition beforecreditsstinger rookie comeback formulaonef1 motorsport carracing audacious forceful bradpitt damsonidris javierbardem josephkosinski
1061474,Superman,superman a journalist in metropolis embarks on a journey to reconcile his kryptonian heritage with his human upbringing as clark kent sciencefiction adventure action journalist hero superhero nerd villain basedoncomic alien alterego dog superpower aftercreditsstinger duringcreditsstinger supervillain satirical dcuniversedcu witty romantic cheerful hopeful davidcorenswet rachelbrosnahan nicholashoult jamesgunn
1151334,Eenie Meanie,a former teenage getaway driver gets dragged back into her unsavory past when a former employer offers her a chance to save the life of her chronically unreliable exboyfriend thriller action comedy anxious samaraweaving karlglusman andygarca shawnsimmons
575265,Mission: Impossible - The Final Reckoning,ethan hunt and team continue their search for the terrifying ai known as the entity  which has infiltrated intelligence networks all over the globe  with the worlds governments and a mysterious ghost from hunts past on their trail joined by new allies and armed with the means to shut the entity down for good hunt is in a race against time to prevent the world as we know it from changing forever action adventure thriller mask artificialintelligenceai diving submarine espionage spy nuclearmissile fakeidentity secretagent stunt sequel infiltration terroristplot fictionalgovernmentagency misinformation angry governmentagency basedontvseries secretgovernmentagency  arrogant tomcruise hayleyatwell vingrhames christophermcquarrie
1234821,Jurassic World Rebirth,five years after the events of jurassic world dominion covert operations expert zora bennett is contracted to lead a skilled team on a topsecret mission to secure genetic material from the worlds three most massive dinosaurs when zoras operation intersects with a civilian family whose boating expedition was capsized they all find themselves stranded on an island where they come facetoface with a sinister shocking discovery thats been hidden from the world for decades sciencefiction adventure action island secretmission stranded dinosaur family geneticexperiment skeptical scarlettjohansson mahershalaali jonathanbailey garethedwards
1242011,Together,with a move to the countryside already testing the limits of a couples relationship a supernatural encounter begins an extreme transformation of their love their lives and their flesh horror romance countryside musician cave cult woods romance teacher church couple disturbed supernaturalhorror bodyhorror psychologicalhorror suspenseful compassionate davefranco alisonbrie damonherriman michaelshanks
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,the demon slayer corps are drawn into the infinity castle where tanjiro nezuko and the hashira face terrifying upper rank demons in a desperate fight as the final battle against muzan kibutsuji begins animation action fantasy thriller supernatural sequel basedonmanga demon shounen anime brothersisterrelationship taisho natsukihanae akarikito yoshitsugumatsuoka haruosotozaki
1083433,I Know What You Did Last Summer,when five friends inadvertently cause a deadly car accident they cover up their involvement and make a pact to keep it a secret rather than face the consequences a year later their past comes back to haunt them and theyre forced to confront a horrifying truth someone knows what they did last summerand is hellbent on revenge horror mystery thriller action adventure harpoon sequel murder serialkiller slasher hook killer fourthofjuly duringcreditsstinger horror holidayhorror teenscream madelyncline chasesuiwonders jonahhauerking jenniferkaytinrobinson
1175942,The Bad Guys 2,the nowreformed bad guys are trying very very hard to be good but instead find themselves hijacked into a highstakes globetrotting heist masterminded by a new team of criminals they never saw coming the bad girls animation family comedy crime adventure basedonnovelorbook snake wolf spider villain sequel heist anthropomorphism framedforacrime samrockwell marcmaron awkwafina pierreperifel
1382406,Striking Rescue,a veteran muay thai expert goes on a takenoprisoners mission of revenge after his wife and daughter are brutally murdered by mysterious forces action crime thriller revenge tonyjaa easonhung xingyu chengsiyi
1087192,How to Train Your Dragon,on the rugged isle of berk where vikings and dragons have been bitter enemies for generations hiccup stands apart defying centuries of tradition when he befriends toothless a feared night fury dragon their unlikely bond reveals the true nature of dragons challenging the very foundations of viking society fantasy family action adventure flying vikingsnorsemen remake dragon battle warrior liveactionremake basedonyoungadultnovel masonthames nicoparker gerardbutler deandeblois
13494,Red Sonja,a young girl rises from the ashes of tragedy to become the most feared warrior woman of all time the shedevil with a sword adventure action fantasy monster swordplay villainess queen talisman basedoncomic highfantasy femalewarrior swordandsorcery epicfantasy matildalutz robertsheehan wallisday mjbassett
803796,KPop Demon Hunters,when kpop superstars rumi mira and zoey arent selling out stadiums theyre using their secret powers to protect their fans from supernatural threats animation music fantasy comedy doublelife loyalty supernatural musical femalefriendship femaleprotagonist demon selfdoubt girlpower duringcreditsstinger demonhunter girlgroup boyband fandom reflective kpop actioncomedy foundfamily 3danimation halfdemon savetheworld selfredemption supernaturalcomedy excited kpopgroup trio ardencho mayhong jiyoungyoo chrisappelhans maggiekang
1429739,Gold Rush Gang,at the tail end of world war ii a bandit leader and his crew go up against his sworn enemy and the japanese army to rob a train full of gold action comedy drama western petchtaiwongkamlao thitimahayotaruk chingduangduijkers wisitsasanatieng
1022787,Elio,elio a space fanatic with an active imagination finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be animation family comedy adventure sciencefiction villain alien comingofage computeranimation eyepatch socialoutcast aftercreditsstinger beforecreditsstinger spaceadventure sattelite preteen amateurradio mothersonrelationship goodversusevil 3danimation interspeciesfriendship clones comforting pixar cgianimation yonaskibreab zoesaldaa remyedgerly madelinesharafian domeeshi adrianmolina
1078605,Weapons,when all but one child from the same class mysteriously vanish on the same night at exactly the same time a community is left questioning who or what is behind their disappearance horror mystery witch smalltown pennsylvaniausa ritual cop teacher trance witchcraft missingchild multiplestorylines supernaturalhorror mysteriousdisappearance spell psychologicalhorror mystery amused juliagarner joshbrolin aldenehrenreich zachcregger
1389158,Maa,a mother and daughter encounter a demon in a village where girls have been disappearing horror femaleprotagonist folkhorror supernaturalhorror motheranddaughter feministhorror shaitaanuniverse kajol ronitroy indraneilsengupta vishalfuria
1367575,A Line of Fire,after working as a secret agent in the fbi for ten years jack cash conry left it all behind after his wife passed in order to dedicate himself to his two daughters despite a fulfilling life at home cash misses the chance to make an impact and has been considering a return to the force the decision is made for him when his old partners niece jamie calls him for help launching cash right back into a world of danger corruption and intrigue action thriller davidarwhite cubagoodingjr jasonpatric mattshapira
1241470,Osiris,special forces commandos on a mission are abducted midoperation by a mysterious spacecraft upon waking aboard they find themselves prey to a relentless alien race in a fight for survival sciencefiction action horror spacecraft specialforces maxmartini briannahildebrand lamonicagarrett williamkaufman
1300116,Fall for Me,lilli is suspicious of her sisters new fiance but when an attractive stranger enters her life shes suddenly distracted by the thralls of desire romance thriller mallorcaislandspain womandirector eroticthriller svenjajung theotrebs tijanmarei sherryhormann
